@relation 'student_habits_performance 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R1-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R3-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R4-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R5-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R15-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R15-precision6-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R15-precision6-unset-class-temporarily'

@attribute age {Young,Adult,Old}
@attribute gender {Female,Male,Other}
@attribute study_hours_per_day {Bas,Moyen,Haut}
@attribute social_media_hours {PeuConnecte,Connecte,HyperConnecte}
@attribute netflix_hours {Occasionnel,Regulier,Intensif}
@attribute part_time_job {No,Yes}
@attribute attendance_percentage {Absenteisme,PresenceMoyenne,PresenceAssidue}
@attribute sleep_hours {PeuDormeur,BonDormeur,GrosDormeur}
@attribute diet_quality {Fair,Good,Poor}
@attribute exercise_frequency {Rare,Regulier,Frequent}
@attribute parental_education_level {Master,High_School,Bachelor,None}
@attribute internet_quality {Average,Poor,Good}
@attribute mental_health_rating {Fragile,Stable,Equilibree}
@attribute extracurricular_participation {Yes,No}
@attribute exam_score {Faible,Moyen,Bon,Excellent}

@data
Old,Female,Bas,PeuConnecte,Occasionnel,No,PresenceMoyenne,GrosDormeur,Fair,Frequent,Master,Average,Equilibree,Yes,Moyen
Adult,Female,Haut,Connecte,Regulier,No,PresenceAssidue,PeuDormeur,Good,Frequent,High_School,Average,Equilibree,No,Excellent
Adult,Male,Bas,Connecte,Occasionnel,No,PresenceAssidue,GrosDormeur,Poor,Rare,High_School,Poor,Fragile,No,Faible
Old,Female,Bas,Connecte,Occasionnel,No,PresenceMoyenne,GrosDormeur,Poor,Regulier,Master,Good,Fragile,Yes,Faible
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,PeuDormeur,Fair,Regulier,Master,Good,Fragile,No,Bon
Old,Male,Haut,PeuConnecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Rare,Master,Average,Fragile,No,Excellent
Adult,Female,Haut,PeuConnecte,Occasionnel,Yes,PresenceAssidue,BonDormeur,Good,Rare,Master,Poor,Fragile,No,Excellent
Adult,Female,Moyen,PeuConnecte,Regulier,Yes,PresenceMoyenne,PeuDormeur,Fair,Rare,Bachelor,Average,Equilibree,No,Bon
Old,Female,Moyen,PeuConnecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Regulier,Bachelor,Good,Fragile,No,Bon
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceAssidue,BonDormeur,Good,Frequent,Bachelor,Good,Equilibree,Yes,Excellent
Young,Female,Moyen,Connecte,Occasionnel,No,PresenceMoyenne,BonDormeur,Fair,Rare,None,Good,Fragile,No,Bon
